,Country,feature_index,value
101,Honduras,weighted_sum_valence,0.4937248789239772
102,Nicaragua,weighted_sum_valence,0.4998910363488772
103,Panama,weighted_sum_valence,0.5212874519767771
104,Mexico,weighted_sum_valence,0.5517051124939837
105,Dominican Republic,weighted_sum_valence,0.6060742414747009
106,Canada,weighted_sum_valence,0.5534547938805644
107,USA,weighted_sum_valence,0.4781154070282041
108,Chile,weighted_sum_tempo,111.76261312881554
109,Argentina,weighted_sum_tempo,109.82848673201
110,Bolivia,weighted_sum_tempo,118.3156562132418
111,Paraguay,weighted_sum_tempo,118.77358735646364
112,Brazil,weighted_sum_tempo,131.376784300371
113,Peru,weighted_sum_tempo,117.52790544200624
114,Ecuador,weighted_sum_tempo,121.58374767492496
115,Uruguay,weighted_sum_tempo,110.9999763120979
116,Costa Rica,weighted_sum_tempo,120.72234208465966
117,El Salvador,weighted_sum_tempo,119.30888496968146
118,Guatemala,weighted_sum_tempo,118.99016476842628
119,Honduras,weighted_sum_tempo,119.19781756511132
120,Nicaragua,weighted_sum_tempo,118.49329552809598
121,Panama,weighted_sum_tempo,123.06631942040724
122,Mexico,weighted_sum_tempo,118.26362912486849
123,Dominican Republic,weighted_sum_tempo,119.18418949680644
124,Canada,weighted_sum_tempo,128.2814583096512
125,USA,weighted_sum_tempo,128.7914494024466
126,Chile,weighted_sum_mode,0.5017583774356966
127,Argentina,weighted_sum_mode,0.4689627076106903
128,Bolivia,weighted_sum_mode,0.4063032070597208
129,Paraguay,weighted_sum_mode,0.4014558529341782
130,Brazil,weighted_sum_mode,0.5105317049300747
131,Peru,weighted_sum_mode,0.429046159032674
132,Ecuador,weighted_sum_mode,0.4087754237042111
133,Uruguay,weighted_sum_mode,0.4402347949568527
134,Costa Rica,weighted_sum_mode,0.4261291570943792
135,El Salvador,weighted_sum_mode,0.4029236654968155
136,Guatemala,weighted_sum_mode,0.4681270613066715
137,Honduras,weighted_sum_mode,0.4148910804398216
138,Nicaragua,weighted_sum_mode,0.4302696852169207
139,Panama,weighted_sum_mode,0.497129858068106
140,Mexico,weighted_sum_mode,0.4955002733105049
141,Dominican Republic,weighted_sum_mode,0.4600290559659684
142,Canada,weighted_sum_mode,0.6225741327975598
143,USA,weighted_sum_mode,0.5930152297697027
